ID,Question,Answer
1,Meri flight ka status kahan check kar sakta hoon?,Aap apni flight ka status main departure screen par dekh sakte hain ya airline counter se maloom kar sakte hain. Agar aap mujhe flight number batayen to main abhi check kar sakta hoon.
2,PIA ki Karachi jane wali flight PK301 time par hai?,"Haan, PIA flight PK301 Karachi ke liye waqt par ravana hogi. Boarding flight ke 45 minutes pehle shuru ho jati hai."
3,Dubai ki flight late hai kya?,"Haan, Emirates ki Dubai wali flight takreeban 30 minutes delay hai. Gate 8 ke paas rahein, jald hi announcement hogi."
4,Air Sial ka check-in counter kahan hai?,Air Sial ka check-in counter entrance number 3 ke paas hai. Counter 5 se 8 tak Air Sial staff available hai.
5,Mujhe flight se kitni der pehle airport pohanchna chahiye?,Domestic flights ke liye 2 ghante pehle aur international flights ke liye kam az kam 3 ghante pehle pohanchna behtar hai.
6,Serene Air ki Lahore flight boarding par hai?,"Haan, Serene Air flight ER502 Lahore ke liye gate 6 par boarding par hai. Boarding pass aur ID ready rakhein."
7,Aaj ki departure flights ka schedule kahan milta hai?,Aap departure hall mein digital screens par ya apni airline app se schedule dekh sakte hain.
8,Jeddah ki flight time par ja rahi hai?,"Haan, Saudi Airlines ki flight Jeddah ke liye apne schedule ke mutabiq ravana hogi. Boarding gate 10 se shuru hogi."
9,Domestic flight ke liye baggage limit kitni hai?,Aksar airlines domestic flights ke liye 20 kg check-in aur 7 kg hand carry allow karti hain. Airline se confirm kar lein.
10,Qatar Airways ka online check-in available hai?,"Haan, Qatar Airways app aur website dono par online check-in ki sahulat hai. Aap boarding pass ghar se print kar sakte hain."
11,Fly Jinnah ka counter kahan hai?,Fly Jinnah ka counter departure hall ke left side par gate 2 ke paas hai.
12,Lahore wali flight nikal gayi hai kya?,"Haan, Lahore wali flight kuch minute pehle depart ho chuki hai. Rebooking ke liye apni airline counter par jaayein."
13,Doha ki flight delay hai kya?,"Haan, Qatar Airways ki flight Doha ke liye 15 minute delay hai. Naya departure time 10:15 pm hai."
14,Agar meri flight cancel ho jaye to kya karun?,Agar flight cancel ho jaye to apni airline ke help desk par jaayein. Wo aapko new flight ya refund mein madad karenge.
15,Mera gate number kahan likha hota hai?,Gate number aapke boarding pass par likha hota hai aur screen par bhi update hota hai.
16,Turkish Airlines ki Istanbul flight boarding par hai?,"Haan, Turkish Airlines flight TK711 15 minutes mein boarding start karegi. Gate 9 ke paas rahein."
17,Kya extra luggage le ja sakta hoon?,"Haan, extra luggage le ja sakte hain agar aap extra fee pay karein. Payment counter par hoti hai."
18,Gilgit wali flight chal rahi hai kya?,"Haan, Gilgit wali flight weather conditions ke mutabiq schedule par hai. Aaj chalne ki umeed hai."
19,Flight delay ka update kahan milta hai?,Digital screens aur loudspeaker announcements ke zariye delay updates diye jaate hain.
20,Aaj Riyadh ke liye flight hai?,"Haan, PIA aur Saudi Airlines dono ke flights shaam ko Riyadh ke liye scheduled hain."
21,Boarding pass kahan se milta hai?,Airline ke check-in counter par ID aur ticket dikhakar boarding pass le sakte hain.
22,Subha ki Karachi flight hai kya?,"Haan, subha 6:30 par PIA aur 7:00 par Airblue ki flights Karachi ke liye ja rahi hain."
23,Gate number confirm kaise hoga?,"Gate number boarding pass par hota hai, agar change ho to screen par update hota hai."
24,Flight delay ki maloomat kaise milegi?,Airline app ya departure hall screens par flight delay updates milte hain.
25,Aaj London ke liye flight hai kya?,"Haan, British Airways ki flight aaj raat London ke liye ja rahi hai. Boarding ek ghanta pehle gate 9 se start hoti hai."
26,“Boarding soon” ka kya matlab hai?,“Boarding soon” ka matlab hai ke boarding 10 se 15 minutes mein shuru hone wali hai.
27,Flight number kahan likha hota hai?,Flight number aapke ticket aur confirmation SMS par likha hota hai.
28,Meri flight time par hai kya?,"Haan, abhi tak sab flights apne schedule ke mutabiq time par hain."
29,Kya mausam ki wajah se flight delay ho sakti hai?,"Abhi mausam clear hai, agar delay hua to turant announce kar diya jayega."
30,Emirates flight EK613 kab boarding karegi?,Emirates flight EK613 Dubai ke liye departure se 45 minutes pehle gate 11 se boarding karegi.
31,Quetta ke liye koi flight hai?,"Haan, Air Sial ki flight Quetta ke liye shaam 8:10 par ravana hogi."
32,Airblue ki Karachi flight ka time kya hai?,Airblue flight PA203 shaam 5:45 par departure legi.
33,Airline help desk kahan hai?,Airline help desks check-in counters ke bilkul samne located hain.
34,Muscat wali flight ja chuki hai?,"Haan, Salam Air ki Muscat flight 20 minute pehle depart ho chuki hai."
35,Agar main check-in ke liye late ho jaun to?,"Agar check-in band ho gaya ho to turant apni airline counter par jaayein, wo agle option batayenge."
36,Meri flight cancel ya delay to nahi?,"Flight number batayein, main aapko latest status bata sakta hoon."
37,Sharjah ki flight time par hai kya?,"Haan, Air Arabia ki Sharjah flight schedule ke mutabiq time par hai."
38,Aaj Madinah ke liye flight hai kya?,"Haan, Saudi Airlines ki flight raat 11:45 par Madinah ke liye departure legi."
39,Mera ticket valid hai ya nahi?,Ticket validity ke liye apni airline counter par check karwa sakte hain.
40,Skardu ki flight ka time kya hai?,Skardu ki flight subha 8:20 par departure legi. Boarding gate 4 se shuru hoti hai.
41,Flight ke announcements kahan hote hain?,Sab flight announcements loudspeakers par aur digital screens par diye jaate hain.
42,Rescheduled flight ka update kaise milega?,Reschedule hone par airline SMS aur email ke zariye passenger ko inform karti hai.
43,Kuala Lumpur ke liye flight hai kya?,"Haan, Malaysia Airlines ki flight raat 10:30 par Kuala Lumpur ke liye scheduled hai."
44,Kya main flight ka time change kar sakta hoon?,"Haan, airline counter par request dene se aap flight timing change karwa sakte hain (charges apply)."
45,Abu Dhabi ke liye flight kis waqt hai?,Etihad Airways ki flight 2:15 pm par Abu Dhabi ke liye departure legi.
46,Connecting flight ka time kaise maloom hoga?,Connecting flight ka time airline ke transfer desk par maloom hota hai.
47,Mera flight number kahan likha hai?,Aapka flight number ticket aur boarding pass dono par likha hota hai.
48,Kya kal subha Doha ke liye flight hai?,"Haan, kal subha 9:10 par Qatar Airways ki flight Doha ke liye scheduled hai."
49,Kya main flight status online check kar sakta hoon?,"Haan, airline website par flight number dal kar real-time status dekh sakte hain."
50,Flight announcements kab hote hain?,Flight ke announcements departure se 30 minutes pehle start hote hain. Gate ke paas rahein.
51,Airport par boarding pass kaise hasil karein?,Aap online check-in karke boarding pass download kar sakte hain ya airport par airline counter se print karwa sakte hain. Apne ID proof aur booking details saath le kar jayein. Mobile boarding pass bhi kaam karta hai. Counter par line lagne ka time dhyan rakhein. Staff ki madad le sakte hain agar problem aaye. Boarding pass ko safe jagah rakhein.
52,Checked-in luggage ke liye weight aur size limits kya hain?,"Har airline ka apna weight aur size limit hota hai, aam tor par 20-30 kg. Extra baggage par additional fee lagti hai. Luggage ko tag karein aur receipt safe rakhein. Heavy ya oversized luggage ke liye pehle airline ko inform karein. Airport par weighing scale par check hoga. Rules follow karne se boarding smooth hoti hai."
